grade,emp_length,home_ownership,income,state,debt to income,earliest credit
C,< 1 year,OWN,30000,OH,3,1995
C,4 years,MORTGAGE,80000,AZ,22,2006
C,10+ years,MORTGAGE,125000,OR,30,1993
A,n/a,MORTGAGE,20000,OH,26,2004
C,10+ years,MORTGAGE,80000,MO,20,2003
C,< 1 year,RENT,30000,TX,19,2009
C,10+ years,MORTGAGE,30000,MD,6,2003
C,10+ years,RENT,15000,GA,38,2007
C,2 years,MORTGAGE,60000,FL,28,1996
C,< 1 year,RENT,80000,LA,18,1998
C,6 years,RENT,30000,CO,3,2008
C,10+ years,MORTGAGE,30000,NC,21,2003
A,10+ years,MORTGAGE,40000,FL,1,1999
C,1 year,MORTGAGE,60000,PA,34,1996
A,10+ years,MORTGAGE,40000,AZ,18,2003
C,2 years,RENT,30000,ME,20,2006
C,3 years,RENT,30000,MA,14,2010
A,1 year,MORTGAGE,80000,OH,16,2002
C,1 year,OWN,40000,NY,27,2002
A,n/a,MORTGAGE,100000,AL,15,1983
A,6 years,RENT,80000,VA,15,1988
C,10+ years,MORTGAGE,100000,CT,6,2000
C,3 years,MORTGAGE,40000,TN,19,1988
A,10+ years,MORTGAGE,80000,CA,7,1990
C,10+ years,MORTGAGE,150000,OH,20,1995
C,5 years,MORTGAGE,40000,OH,33,1985
C,2 years,MORTGAGE,80000,NJ,11,2001
C,< 1 year,OWN,40000,VA,15,2000
C,10+ years,MORTGAGE,80000,IL,14,2005
A,2 years,MORTGAGE,150000,NY,12,1996
C,2 years,OWN,40000,OR,14,2003
C,1 year,RENT,30000,IL,18,2009
A,4 years,RENT,40000,OH,23,1998
C,3 years,RENT,40000,DC,14,2013
C,n/a,MORTGAGE,30000,MI,30,1998
A,2 years,MORTGAGE,60000,IN,19,2004
C,1 year,RENT,40000,CA,26,1999
C,6 years,MORTGAGE,40000,WI,17,2003
A,8 years,MORTGAGE,60000,AZ,26,2000
A,10+ years,MORTGAGE,80000,CA,21,2000
A,10+ years,MORTGAGE,80000,MI,20,1984
A,8 years,OWN,125000,PA,24,1983
C,10+ years,MORTGAGE,125000,NJ,10,1999
C,3 years,RENT,30000,OK,27,1987
C,4 years,RENT,40000,CO,27,2007
C,3 years,MORTGAGE,100000,CT,26,1996
C,6 years,RENT,30000,FL,43,2003
C,10+ years,MORTGAGE,60000,FL,12,1999
A,3 years,OWN,150000,TX,4,2003
A,7 years,MORTGAGE,80000,FL,24,1984
C,2 years,RENT,40000,AZ,7,2001
C,10+ years,RENT,20000,CA,18,2005
C,3 years,RENT,100000,FL,22,2002
A,10+ years,MORTGAGE,60000,TX,19,2000
C,10+ years,RENT,30000,MA,20,2002
C,1 year,RENT,30000,MO,30,2009
C,10+ years,MORTGAGE,40000,FL,11,2003
A,10+ years,RENT,80000,AZ,26,1993
A,10+ years,MORTGAGE,80000,MD,7,2008
A,10+ years,RENT,100000,CT,29,1999
C,< 1 year,RENT,40000,CA,9,2001
C,< 1 year,MORTGAGE,60000,NY,21,1995
A,< 1 year,MORTGAGE,150000,TX,14,1968
C,10+ years,MORTGAGE,80000,UT,12,2000
C,4 years,MORTGAGE,40000,MO,11,1997
C,10+ years,MORTGAGE,40000,CA,30,2006
A,10+ years,RENT,100000,NM,11,1997
C,10+ years,MORTGAGE,60000,AZ,49,2006
C,4 years,OWN,40000,MN,33,2000
A,4 years,MORTGAGE,80000,OH,16,1996
A,10+ years,MORTGAGE,80000,FL,18,2000
C,10+ years,MORTGAGE,80000,TX,21,2009
A,9 years,MORTGAGE,40000,CA,3,1997
A,1 year,RENT,125000,MA,10,2009
C,10+ years,MORTGAGE,60000,MO,19,2004
C,3 years,RENT,40000,NY,22,2009
C,2 years,MORTGAGE,40000,MD,14,2006
C,5 years,MORTGAGE,100000,AK,4,2001
C,2 years,RENT,30000,NY,21,2012
C,10+ years,MORTGAGE,125000,TX,15,2003
C,< 1 year,RENT,30000,CA,24,2014
A,10+ years,RENT,60000,IN,19,1989
C,2 years,MORTGAGE,40000,FL,14,2005
C,2 years,MORTGAGE,40000,NH,21,2004
C,10+ years,MORTGAGE,80000,NY,20,2003
C,10+ years,MORTGAGE,80000,CA,19,1976
C,10+ years,MORTGAGE,80000,FL,30,1994
C,< 1 year,MORTGAGE,150000,PA,14,1998
C,n/a,RENT,40000,VA,11,2009
C,3 years,MORTGAGE,125000,IN,29,2000
C,< 1 year,RENT,20000,TX,8,2012
C,3 years,RENT,40000,AR,20,2009
C,3 years,OWN,150000,OH,18,2001
C,1 year,OWN,60000,TX,26,2003
A,1 year,MORTGAGE,125000,TX,6,2007
C,9 years,MORTGAGE,150000,MD,34,1993
C,10+ years,MORTGAGE,80000,FL,11,2003
A,10+ years,RENT,40000,NY,14,2010
C,10+ years,MORTGAGE,100000,WI,13,1983
A,7 years,OWN,80000,CT,1,1981
C,2 years,MORTGAGE,40000,IL,32,1996
A,8 years,RENT,40000,NC,21,1984
C,10+ years,MORTGAGE,80000,AZ,31,1996
C,< 1 year,MORTGAGE,60000,MA,25,2004
C,1 year,RENT,60000,CA,18,2006
C,10+ years,MORTGAGE,80000,PA,9,1995
C,3 years,RENT,30000,MN,1,2008
C,6 years,RENT,80000,CA,17,2006
A,10+ years,OWN,60000,KY,15,1981
A,9 years,MORTGAGE,100000,MA,12,2006
A,3 years,RENT,60000,NY,8,1997
C,2 years,RENT,30000,OH,18,2008
C,2 years,OWN,80000,MD,19,2003
A,3 years,MORTGAGE,60000,CO,15,1980
C,10+ years,MORTGAGE,125000,NV,16,1992
A,8 years,MORTGAGE,150000,CA,12,1985
C,3 years,MORTGAGE,40000,FL,17,2002
C,n/a,MORTGAGE,150000,CA,11,1978
C,2 years,RENT,60000,FL,1,2012
C,3 years,RENT,60000,NJ,18,2007
C,n/a,RENT,10000,DC,23,1988
C,9 years,MORTGAGE,60000,IL,22,2005
A,10+ years,RENT,60000,CO,20,2006
C,6 years,MORTGAGE,80000,ID,25,2006
C,2 years,MORTGAGE,100000,TX,4,2007
C,8 years,MORTGAGE,100000,LA,25,2004
C,10+ years,MORTGAGE,125000,MN,25,2002
C,8 years,OWN,40000,NY,24,1993
A,10+ years,RENT,80000,NY,6,2005
C,1 year,RENT,20000,AZ,18,2012
C,2 years,RENT,30000,TX,15,2002
C,n/a,OWN,40000,TX,23,1992
C,4 years,MORTGAGE,40000,NM,26,2011
C,9 years,RENT,60000,NV,20,1995
A,< 1 year,RENT,60000,MA,6,2006
C,10+ years,MORTGAGE,125000,NY,6,1995
C,10+ years,RENT,60000,GA,10,1981
A,5 years,MORTGAGE,80000,TX,3,2011
C,10+ years,OWN,80000,FL,29,1980
A,< 1 year,MORTGAGE,15000,MA,44,1999
A,10+ years,MORTGAGE,60000,AZ,19,1988
C,10+ years,RENT,60000,MD,15,2012
C,4 years,MORTGAGE,30000,TX,18,2013
C,6 years,MORTGAGE,40000,MT,27,2004
A,6 years,MORTGAGE,60000,NY,9,2006
C,10+ years,OWN,40000,TX,17,2006
